question_id,program_type,form_type,target_respondent,question #,question
164,stem,feedback competition,student,13, Your teacher/mentor encourages you to think deeper.
165,stem,feedback competition,student,14, Your teacher/mentor gives you helpful feedback during class.
166,stem,feedback competition,student,15, Your teacher/mentor is effective in using LMS to guide you.
167,stem,feedback competition,student,16, 3 things you enjoyed the most in LMS are: 
168,stem,feedback,student,1,How would you rate the overall quality of this Course?
169,stem,feedback,student,2,Would you recommend this Course to other friends?
170,stem,feedback,student,3,Did you have fun in this Course?
171,stem,feedback,student,4,"Do you have any suggestions on how Chumbaka could further improve the Course? What did you like best, what did you like least?"
172,stem,feedback,student,5,"Over the last few months, you have become better in .. "
173,stem,feedback,student,6,The training venue and facilities were conducive to learning.
174,stem,feedback,student,7,The coordinator's pre-training communication is good.
175,stem,feedback,student,8,The coordinator is helpful in training coordination
176,stem,feedback,student,9,(If applicable) Please rate your satisfaction with the provided food/refreshments during the Course. 
177,stem,feedback,student,10,How much did this Course help you learn things related to the world around you or things you experience in real life?
178,stem,feedback,student,11,Did this course allow you to work on cool & interesting projects?
179,stem,feedback,student,12,3 things you enjoyed the most in the whole course are: 
180,stem,feedback,student,13,"If you chose Others, what are they? "
181,stem,feedback,student,14,What is something you wish we learn more about in this course?
182,stem,feedback,student,15,Your rating for your mentor
183,stem,feedback,student,16,Your mentor is good at explaining things. 
184,stem,feedback,student,17,Your mentor encourages you to think deeper.
185,stem,feedback,student,18,Your mentor gives you helpful feedback during class.
186,stem,feedback,student,19,Your mentor is effective in using LMS to guide you.
187,stem,feedback,student,20,3 things you enjoyed the most in LMS are: 
188,learning loss,feedback,teacher,21,3 things you will enjoy the most in Sekolah Enuma App are:
189,learning loss,feedback,teacher,22,What else do you wish Sekolah Enuma App could do?
